n213	n163	25.9	9.93	21
n26	n14	93.1	4.61e-144	500
n26	n25	93.1	6.02e-144	500
n26	n22	83.1	2.63e-131	458
n26	n23	82.4	1.88e-129	452
n26	n16	74.7	3.33e-118	414
n26	n24	65.6	1.27e-101	359
n26	n2	64.6	2.24e-98	349
n26	n6	61.1	1.15e-94	336
n26	n5	61.6	4.38e-94	334
n26	n9	59.7	9.45e-89	317
n26	n18	51.5	4.12e-76	275
n26	n7	51.5	1.46e-73	266
n26	n4	50.0	3.05e-71	258
n26	n1	51.3	1.52e-70	256
n26	n21	52.6	4.87e-69	251
n26	n19	46.5	5.39e-68	248
n26	n20	49.1	2.26e-66	242
n26	n17	32.3	1.31e-05	40
n26	n3	22.2	0.000246	36
n26	n3	30.0	0.195	27
n25	n14	99.0	2.89e-174	601
n25	n15	92.7	6.68e-163	563
n25	n12	99.2	2.15e-153	532
n25	n23	83.7	2.47e-149	518
n25	n13	94.6	5.68e-146	507
n25	n22	81.7	6.28e-145	503
n25	n11	92.3	7.68e-143	497
n25	n8	92.0	1.71e-142	495
n25	n10	91.2	3.95e-139	484
n25	n16	75.9	1.84e-120	422
n25	n24	61.7	3.73e-105	371
n25	n5	59.8	1.68e-97	346
n25	n6	59.4	2.86e-97	345
n25	n2	63.9	1.09e-96	343
n25	n9	55.3	7.06e-88	314
n25	n18	49.3	1.25e-76	277
n25	n7	48.7	8.1e-76	274
n25	n1	49.7	3.18e-72	262
n25	n19	45.0	3.18e-72	262
n25	n4	48.8	1.58e-71	260
n25	n21	47.6	1.13e-69	253
n25	n20	47.8	2.61e-66	242
n25	n3	24.3	1.15e-05	41
n25	n17	28.0	0.000167	37
n24	n16	69.1	1.29e-105	373
n24	n14	61.7	6.42e-105	371
n24	n15	61.4	1.58e-103	366
n24	n12	66.0	2.7e-103	365
n24	n11	65.3	2.52e-101	359
n24	n23	59.5	3.3e-101	358
n24	n13	64.9	5.62e-101	357
n24	n8	64.9	2.14e-100	356
n24	n22	59.2	4.76e-100	354
n24	n2	65.6	8.12e-100	354
n24	n6	58.0	2e-98	349
n24	n5	57.8	2.21e-97	346
n24	n10	63.7	3.77e-97	345
n24	n9	52.8	1.35e-86	310
n24	n7	48.9	4.2e-72	262
n24	n18	48.9	4.2e-72	262
n24	n19	44.8	7.41e-69	251
n24	n4	45.1	8.2e-68	247
n24	n21	45.3	3.44e-66	242
n24	n1	44.5	2.92e-65	239
n24	n20	44.8	1.5e-61	226
n24	n3	25.7	7.3e-08	48
n24	n17	22.3	0.0158	30
n23	n22	92.7	8.14e-161	556
n23	n14	84.4	1.7e-150	522
n23	n15	81.1	1.54e-143	499
n23	n12	85.8	6.94e-136	473
n23	n11	82.4	3.69e-129	451
n23	n8	82.1	8.22e-129	450
n23	n13	81.2	6.96e-128	447
n23	n10	80.8	5.51e-125	437
n23	n16	78.2	3.02e-123	431
n23	n5	61.9	1.24e-100	356
n23	n6	60.8	8.02e-100	354
n23	n2	62.7	3.85e-94	335
n23	n9	56.0	7.52e-90	320
n23	n7	47.8	1.68e-73	266
n23	n18	48.0	8.35e-73	264
n23	n4	49.8	9.23e-72	260
n23	n19	45.6	1.58e-71	260
n23	n21	49.0	6.62e-70	254
n23	n1	49.1	5.6e-69	251
n23	n20	46.8	8.37e-65	237
n23	n3	21.7	2.32e-06	43
n23	n17	30.1	1.5e-05	40
n22	n14	82.4	4.28e-146	507
n22	n15	80.4	1.42e-141	492
n22	n12	85.8	4.01e-136	474
n22	n11	83.1	5.08e-131	457
n22	n8	82.8	1.13e-130	456
n22	n13	82.4	9.58e-130	453
n22	n10	81.6	7.59e-127	443
n22	n16	77.8	8.68e-123	430
n22	n6	62.0	4.48e-103	364
n22	n5	60.3	1.44e-101	359
n22	n2	64.3	1.82e-96	342
n22	n9	57.0	1.04e-91	327
n22	n18	49.3	1.77e-75	273
n22	n21	49.7	4.83e-73	265
n22	n7	47.0	8.24e-73	264
n22	n4	49.8	4.09e-72	262
n22	n19	46.0	2.65e-71	259
n22	n1	49.0	4.23e-69	252
n22	n20	46.2	1.51e-66	243
n22	n17	30.1	8.69e-06	41
n22	n3	21.7	2.53e-05	40
n21	n1	78.6	3.38e-130	455
n21	n4	73.8	7.81e-119	417
n21	n18	66.1	2.79e-108	382
n21	n7	49.7	6.92e-75	271
n21	n20	49.0	5.86e-74	268
n21	n5	50.4	1.03e-70	257
n21	n15	48.6	1.35e-70	257
n21	n2	48.9	6.71e-70	254
n21	n6	50.4	8.76e-70	254
n21	n14	47.2	2.55e-69	252
n21	n11	52.4	3.33e-69	252
n21	n9	47.9	5.68e-69	251
n21	n16	48.5	2.82e-68	249
n21	n13	51.6	6.28e-68	248
n21	n12	50.8	6.28e-68	248
n21	n8	51.8	8.2e-68	247
n21	n10	52.0	8.2e-68	247
n21	n19	44.9	3.12e-67	245
n20	n7	54.3	6.76e-91	324
n20	n19	54.3	7.73e-87	310
n20	n18	48.6	7.75e-79	284
n20	n4	47.2	2.58e-74	269
n20	n1	48.4	1.2e-71	260
n20	n15	48.6	3.99e-67	245
n20	n11	49.1	1.52e-66	243
n20	n14	47.5	5.76e-66	241
n20	n8	48.5	2.19e-65	239
n20	n12	48.0	2.19e-65	239
n20	n10	48.7	4.88e-65	238
n20	n13	48.7	6.37e-65	238
n20	n16	45.7	2.68e-63	232
n20	n2	44.2	9.51e-61	224
n20	n6	42.3	2.19e-57	213
n20	n5	42.7	1.2e-55	207
n20	n9	42.6	7.3e-53	198
n20	n3	21.8	0.000126	37
n19	n7	74.4	1.43e-136	476
n19	n18	45.4	2.17e-76	276
n19	n4	46.4	5.01e-73	265
n19	n14	45.3	1.12e-72	263
n19	n15	44.3	4.24e-72	262
n19	n1	46.4	1.61e-71	260
n19	n16	48.9	6.13e-71	258
n19	n12	48.0	1.51e-69	253
n19	n8	45.8	1.28e-68	250
n19	n11	46.8	1.28e-68	250
n19	n6	46.1	1.41e-67	247
n19	n13	46.5	2.41e-67	246
n19	n10	46.1	2.04e-66	243
n19	n2	46.7	1.73e-65	240
n19	n5	43.9	5.2e-62	228
n19	n9	41.0	2.18e-60	223
n18	n4	66.1	3.12e-112	395
n18	n1	64.6	4.66e-108	381
n18	n7	49.3	3.36e-82	295
n18	n15	51.4	9.15e-80	287
n18	n11	52.0	4.25e-77	278
n18	n14	49.7	4.25e-77	278
n18	n8	51.9	6.14e-76	274
n18	n2	50.7	1.05e-75	273
n18	n13	50.9	1.79e-75	273
n18	n9	48.7	6.79e-75	271
n18	n10	51.3	8.86e-75	270
n18	n16	50.2	4.4e-74	268
n18	n12	49.8	4.4e-74	268
n18	n6	47.6	9.17e-72	260
n18	n5	48.6	3.85e-70	255
n18	n3	25.3	4.34e-05	39
n17	n5	27.3	4.14e-06	42
n17	n11	33.3	5.4e-06	42
n17	n8	33.3	5.4e-06	42
n17	n15	33.3	5.4e-06	42
n17	n6	24.6	1.2e-05	41
n17	n10	32.3	3.5e-05	39
n17	n9	31.8	4.57e-05	39
n17	n13	31.2	4.57e-05	39
n17	n14	29.0	5.97e-05	39
n17	n12	29.0	5.97e-05	39
n17	n2	27.3	0.00559	32
n17	n16	25.8	0.0073	32
n16	n12	76.7	4.98e-122	427
n16	n14	76.6	1.89e-121	425
n16	n11	75.2	3.02e-119	418
n16	n13	75.2	5.16e-119	417
n16	n15	75.1	1.15e-118	416
n16	n8	74.3	3.69e-117	411
n16	n10	73.7	4.52e-115	404
n16	n2	67.8	3.14e-100	355
n16	n5	64.6	8.56e-98	347
n16	n6	64.1	9.46e-97	343
n16	n9	58.9	1.79e-87	312
n16	n4	51.3	6.18e-72	261
n16	n7	50.0	1.05e-71	260
n16	n1	48.9	1.57e-67	246
n16	n3	22.3	0.00609	32
n15	n14	93.0	2.3e-163	565
n15	n11	100.0	2.15e-153	532
n15	n8	98.9	9.05e-152	526
n15	n13	97.7	2.23e-150	522
n15	n10	98.5	3.22e-149	518
n15	n12	93.1	9.07e-144	500
n15	n2	64.6	2.59e-98	349
n15	n6	60.1	5.76e-98	347
n15	n5	59.8	7.53e-98	347
n15	n9	55.6	6.82e-91	324
n15	n7	49.4	2.78e-76	275
n15	n1	50.3	2.88e-73	265
n15	n4	49.1	1.09e-72	263
n15	n3	22.0	0.00108	34
n15	n3	21.8	0.101	28
n14	n12	100.0	2.7e-154	535
n14	n13	94.6	4.61e-146	507
n14	n11	93.1	9.62e-144	500
n14	n8	92.7	2.14e-143	498
n14	n10	91.6	1.44e-139	486
n14	n6	59.8	1.04e-97	347
n14	n5	59.5	3.03e-97	345
n14	n2	63.9	1.5e-96	343
n14	n9	53.5	7.48e-88	314
n14	n7	49.5	3.85e-76	275
n14	n1	49.3	7.52e-72	261
n14	n4	48.4	3.73e-71	258
n14	n3	22.7	4.65e-05	39
n13	n11	97.7	5.11e-151	523
n13	n8	97.3	1.26e-149	519
n13	n10	96.2	7.63e-147	510
n13	n12	94.7	9.97e-147	509
n13	n2	64.8	7.74e-99	350
n13	n6	61.1	1.16e-94	336
n13	n5	61.6	4.39e-94	334
n13	n9	58.9	2.34e-87	312
n13	n7	51.5	4.28e-73	265
n13	n4	49.8	1.99e-70	256
n13	n1	50.4	1.29e-69	253
n13	n3	22.9	0.000422	35
n13	n3	27.5	1.27	24
n12	n11	93.1	2.08e-144	502
n12	n8	92.7	5.12e-143	497
n12	n10	91.6	3.11e-140	488
n12	n2	64.0	3.25e-97	345
n12	n6	61.1	3.97e-95	338
n12	n5	60.8	1.28e-93	333
n12	n9	59.3	5.75e-86	307
n12	n7	51.9	1.02e-74	270
n12	n4	48.7	1.29e-69	253
n12	n1	49.6	4.89e-69	251
n12	n3	23.7	3.82e-05	39
n12	n3	27.5	1.27	24
n11	n8	98.9	2.29e-151	525
n11	n10	98.5	7.38e-150	520
n11	n2	64.8	5.93e-99	351
n11	n6	61.5	2.33e-95	339
n11	n5	61.2	5.74e-94	334
n11	n9	59.7	7.26e-89	317
n11	n7	52.2	1.33e-74	270
n11	n4	49.4	4e-71	258
n11	n1	51.1	8.92e-71	257
n11	n3	22.0	0.00094	34
n11	n3	21.8	0.088	28
n10	n8	97.3	3.43e-147	511
n10	n2	63.6	1.78e-95	339
n10	n6	60.3	7.02e-92	327
n10	n5	60.1	2.26e-90	322
n10	n9	58.6	2.19e-85	305
n10	n7	51.5	5.59e-73	264
n10	n1	52.4	2.87e-69	252
n10	n4	49.1	3.75e-69	252
n10	n3	23.1	0.0232	30
n10	n3	23.2	0.088	28
n9	n6	58.1	3.31e-96	342
n9	n5	59.0	9.01e-94	334
n9	n2	62.2	7.63e-93	330
n9	n8	59.5	4.33e-88	315
n9	n1	51.9	1.83e-70	256
n9	n4	47.0	3.12e-70	255
n9	n7	43.4	2.83e-63	232
n9	n3	26.8	3.18e-06	43
n8	n2	64.3	1.91e-97	346
n8	n6	61.2	8.86e-95	337
n8	n5	61.0	2.18e-93	332
n8	n7	51.5	3.27e-73	265
n8	n4	49.3	4.43e-70	255
n8	n1	50.6	2.2e-69	252
n8	n3	22.2	0.000323	36
n8	n3	21.8	0.088	28
n7	n4	50.7	4.92e-81	291
n7	n1	50.9	1.75e-78	283
n7	n6	48.3	3.2e-72	262
n7	n5	46.6	3.09e-67	245
n7	n2	47.6	6.89e-67	244
n7	n3	27.9	3.37e-05	39
n6	n5	79.2	3.11e-133	465
n6	n2	64.7	2.48e-98	349
n6	n4	49.5	3.38e-71	258
n6	n1	48.4	2.51e-66	242
n6	n3	26.6	0.00515	32
n5	n2	62.1	1.43e-93	333
n5	n4	50.8	3.2e-69	252
n5	n1	49.0	2.07e-68	249
n5	n3	22.4	0.00105	34
n4	n1	74.9	3.05e-120	421
n4	n2	48.5	9.3e-69	250
n2	n1	47.7	3.83e-66	242
